region,region_code,metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
East,E12000006,gdhi_per_head_gbp,11164.0,11340.0,11819.0,12441.0,13008.0,13333.0,13598.0,14026.0,14532.0,14977.0,15609.0,16119.0,16536.0,16657.0,16778.0,17370.0,17984.0,18537.0,19582.0,19882.0,20439.0,21185.0,21787.0,21613.0,22377.0,23661.0,24293.887841703952,25013.310651448173,25754.037963071747,26516.700673724645,27301.94836351972,28110.449848796958,28942.893751772397,29799.989087055994
East,E12000006,gdhi_total_mn_gbp,58801.0,60124.0,63096.0,66870.0,70247.0,72434.0,74438.0,77263.0,80835.0,83967.0,88245.0,92015.0,95104.0,96736.0,98360.0,102743.0,107375.0,111953.0,119419.0,122496.0,126779.0,132141.0,136696.0,136115.0,142087.0,151461.0,157291.38967921137,163279.5792913612,169495.74333303503,175948.56094498723,182647.04168873507,189600.5381258957,196818.75887643447,204311.7821740464
East Midlands,E12000004,gdhi_per_head_gbp,9672.0,9849.0,10285.0,10672.0,11117.0,11384.0,11856.0,12309.0,12643.0,13052.0,13803.0,13968.0,14199.0,14221.0,14499.0,14981.0,15434.0,15913.0,16680.0,16703.0,17153.0,17635.0,18208.0,18444.0,18942.0,19879.0,20440.281162977455,21016.90250278708,21609.790359034203,22219.403610949776,22846.214082770664,23490.70690891855,24153.380909481206,24834.74897628565
East Midlands,E12000004,gdhi_total_mn_gbp,39850.0,40703.0,42710.0,44483.0,46577.0,48059.0,50446.0,52822.0,54733.0,56995.0,60800.0,62035.0,63492.0,64096.0,65789.0,68474.0,71066.0,73877.0,78090.0,79032.0,81964.0,84915.0,88199.0,89552.0,92464.0,98101.0,101715.98232674791,105379.35221132702,109174.66083949697,113106.66007432515,117180.27292044216,121400.59968781869,125772.92437753729,130302.72129755384
East Midlands,TLF,chained_gva_mn_gbp,,89683.0,92036.0,94714.0,97179.0,98322.0,101177.0,103927.0,106376.0,110419.0,111372.0,111507.0,105453.0,109042.0,110398.0,112294.0,114917.0,117171.0,118599.0,119971.0,121846.0,124434.0,125899.0,115406.0,125857.0,128254.0,128538.0,130600.98758827434,132034.66238281227,133472.28190679115,134914.2392158856,136360.91893475287,137812.69742960687,139269.9429937472
East Midlands,TLF,emp_total_jobs,,,,,,,,,,,,,1907000.0,1906000.0,1902000.0,1903000.0,1907000.0,1947000.0,2010000.0,2062000.0,2062000.0,2070000.0,2089000.0,2049000.0,2109000.0,2167000.0,2137000.0,2180760.0334025635,2202683.846763378,2224828.066581078,2247194.908665725,2269786.6111035626,2292605.434480964,2315653.6621106346
East Midlands,TLF,nominal_gva_mn_gbp,,54263.0,55733.0,57797.0,60160.0,62582.0,65730.0,68954.0,72582.0,76609.0,80126.0,83432.0,81084.0,83954.0,85178.0,88426.0,92063.0,95446.0,98321.0,100929.0,104692.0,109384.0,113395.0,110619.0,118965.0,128254.0,139722.0,136426.98651600193,141269.99966284572,146286.73897265957,151483.50595706454,156866.83341248354,162443.4940153952,168220.50924122892
East Midlands,TLF,productivity_gbp_per_job,,,,,,,,,,,,,42519.140010487674,44047.219307450156,44783.385909568875,46466.63163426169,48276.350288411115,49022.085259373394,48915.92039800995,48947.13870029098,50772.06595538312,52842.51207729468,54281.95308760172,53986.82284040996,56408.25035561878,59185.04845408399,65382.31165184839,62556.83818266493,64143.91375797492,65868.08571127962,67478.66699366612,69112.09992401655,70889.82341154224,72636.27692277807
East of England,TLH,chained_gva_mn_gbp,,119888.0,124102.0,131125.0,135234.0,136638.0,141989.0,143366.0,148455.0,152252.0,154759.0,155785.0,148304.0,151009.0,151373.0,153741.0,157639.0,164496.0,167327.0,171040.0,180176.0,180461.0,183978.0,165281.0,181286.0,187608.0,189294.0,192750.10744395142,195900.91548960298,199103.22851998423,202357.8884662489,205665.7510222577,209027.6858695535,212444.57690601272
East of England,TLH,emp_total_jobs,,,,,,,,,,,,,2423000.0,2400000.0,2405000.0,2419000.0,2447000.0,2557000.0,2629000.0,2701000.0,2763000.0,2764000.0,2784000.0,2780000.0,2829000.0,2821000.0,2881000.0,2965384.161478474,3009580.8844313542,3054436.324843223,3099960.300380681,3146162.775034947,3193053.8613026896,3240643.82239942
East of England,TLH,nominal_gva_mn_gbp,,77552.0,80595.0,84942.0,89423.0,92845.0,98776.0,101960.0,107535.0,112826.0,117070.0,121766.0,118559.0,119996.0,120744.0,124608.0,130010.0,137035.0,141969.0,148110.0,158305.0,161802.0,168571.0,159982.0,173622.0,187608.0,205310.0,199063.54213406768,206127.87426575526,213445.52666283402,221025.68437314668,228877.8694182137,237011.953310162,245438.17003969118
East of England,TLH,productivity_gbp_per_job,,,,,,,,,,,,,48930.66446553859,49998.333333333336,50205.40540540541,51512.19512195122,53130.36371066612,53592.10011732499,54001.14111829593,54835.246205109215,57294.60731089395,58539.073806078144,60549.92816091954,57547.482014388486,61372.21633085896,66504.0765685927,71263.45019090593,67140.30015160068,68510.50067869766,69858.59137575247,71299.39760854264,72745.31527844805,74137.92607760517,75862.5134573014
London,E12000007,gdhi_per_head_gbp,12898.0,13329.0,14169.0,15207.0,15765.0,15982.0,16664.0,17569.0,18587.0,19521.0,20924.0,21540.0,21431.0,21575.0,21391.0,22698.0,23906.0,24890.0,26652.0,27099.0,27599.0,29104.0,29719.0,29245.0,30662.0,32330.0,34153.36937059222,35395.75065243398,36683.325462115405,38017.73778364423,39400.69140347171,40833.95208589938,42319.34982761748,43858.78119425787
London,E12000007,gdhi_total_mn_gbp,90477.0,94173.0,101362.0,110047.0,115438.0,117894.0,123224.0,130588.0,139759.0,148319.0,160976.0,168277.0,170218.0,173927.0,175499.0,188863.0,201744.0,212736.0,230795.0,236948.0,242212.0,257085.0,264193.0,259315.0,269968.0,286734.0,313251.4764578319,327881.4812570539,342753.5740309689,358263.12842906266,374436.52768722567,391301.2296534361,408885.8102990253,427220.0089864345
London,TLI,chained_gva_mn_gbp,,291424.0,301911.0,324406.0,328952.0,334055.0,347791.0,357516.0,378745.0,392788.0,421240.0,422128.0,398270.0,411224.0,423693.0,437373.0,450399.0,469765.0,476078.0,495864.0,505319.0,515106.0,521458.0,455122.0,490253.0,529771.0,531531.0,574675.2248879403,620749.6705976494,644754.1444693368,660616.6173782344,676818.5315015283,693367.6631771312,710272.0373473272
London,TLI,emp_total_jobs,,,,,,,,,,,,,4143000.0,4206000.0,4304000.0,4447000.0,4560000.0,4737000.0,4924000.0,5019000.0,5138000.0,5148000.0,5252000.0,5121000.0,5329000.0,5618000.0,5700000.0,5839226.001111622,5970721.979639549,6105179.171240188,6242664.260712272,6383245.43455747,6526992.414797875,6673976.493555027
London,TLI,nominal_gva_mn_gbp,,180822.0,189934.0,204138.0,211431.0,219404.0,232216.0,243884.0,263752.0,279614.0,303485.0,311931.0,307243.0,319155.0,331055.0,344979.0,362515.0,386936.0,400610.0,425828.0,441034.0,457797.0,472257.0,435749.0,468464.0,529771.0,577141.0,584923.7574458441,610916.8595399688,638065.0546660913,666419.6733621274,696034.3272152646,726965.01022825,759270.2046902302
London,TLI,productivity_gbp_per_job,,,,,,,,,,,,,74159.54622254406,75880.8844507846,76917.98327137546,77575.66899033057,79498.90350877192,81683.76609668566,81358.65150284322,84843.19585574816,85837.68003114052,88927.15617715618,89919.45925361766,85090.60730326109,87908.42559579658,94298.86080455678,101252.80701754386,100134.93783978309,102335.32080046998,104478.57558948504,106644.92798244496,108680.9875050309,111288.43573980915,113849.98455736905
North East,E12000001,gdhi_per_head_gbp,9107.0,9150.0,9494.0,9987.0,10448.0,10631.0,10962.0,11470.0,11697.0,12121.0,12434.0,12721.0,13291.0,13509.0,13654.0,14227.0,14564.0,14959.0,15516.0,15718.0,16038.0,16474.0,16991.0,17239.0,17592.0,18388.0,19017.877212225747,19536.624390440804,20068.363823750773,20613.410360225294,21172.086505845193,21744.722610616765,22331.6570591877,22933.236466075952
North East,E12000001,gdhi_total_mn_gbp,23387.0,23431.0,24212.0,25401.0,26538.0,27009.0,27848.0,29140.0,29795.0,30941.0,31856.0,32683.0,34230.0,34945.0,35451.0,36975.0,37914.0,39050.0,40523.0,41153.0,42080.0,43317.0,44800.0,45467.0,46574.0,49319.0,50584.53143312886,52087.83569981851,53634.22386297443,55224.90223262225,56861.11046374739,58544.12247206862,60275.247374876846,62055.83045762337
North East,TLC,chained_gva_mn_gbp,,42708.0,43452.0,44582.0,46419.0,48477.0,50255.0,53174.0,53912.0,55600.0,55381.0,54739.0,52833.0,53692.0,54363.0,55505.0,55223.0,56425.0,58299.0,58090.0,59263.0,59575.0,61102.0,54146.0,59981.0,62364.0,63502.0,63679.869699092225,64254.189098057905,64826.69185308417,65397.882414801854,65968.22766831079,66538.159774505,67108.07882926328
North East,TLC,emp_total_jobs,,,,,,,,,,,,,1012000.0,1011000.0,1006000.0,1001000.0,1006000.0,1034000.0,1063000.0,1037000.0,1064000.0,1052000.0,1070000.0,1040000.0,1087000.0,1069000.0,1102000.0,1094799.6164999986,1101434.0195297308,1108108.626540993,1114823.6811668787,1121579.4285168785,1128376.115185829,1135213.9892629127
North East,TLC,nominal_gva_mn_gbp,,28817.0,29252.0,30140.0,31410.0,33536.0,35461.0,38415.0,40232.0,42379.0,43248.0,44424.0,44217.0,44838.0,45621.0,46772.0,47447.0,48865.0,50570.0,51319.0,52719.0,53545.0,56060.0,52695.0,57240.0,62364.0,68891.0,67387.33414026539,69688.99386054286,72069.26831659417,74530.84264759382,77076.49370545034,79709.09318731725,82431.6108750953
North East,TLC,productivity_gbp_per_job,,,,,,,,,,,,,43692.687747035576,44350.14836795252,45348.906560636184,46725.27472527473,47164.01590457257,47258.22050290136,47572.90686735654,49487.94599807136,49547.93233082707,50898.28897338403,52392.52336448598,50668.269230769234,52658.69365225391,58338.63423760524,62514.51905626134,61573.885538922885,63263.799143136166,64947.376385729396,67054.85814293673,68695.49189513954,70714.6246216299,72349.23392236297
North West,E12000002,gdhi_per_head_gbp,9608.0,9752.0,10261.0,10710.0,11091.0,11383.0,11768.0,12215.0,12598.0,13014.0,13531.0,13756.0,14260.0,14378.0,14506.0,14972.0,15427.0,15828.0,16551.0,16664.0,17108.0,17629.0,18229.0,18372.0,18805.0,19752.0,20345.451937263188,20904.352139436935,21477.570416748116,22065.46082453566,22668.38610502964,23286.717900271404,23920.836970238128,24571.1334163001
North West,E12000002,gdhi_total_mn_gbp,65278.0,66235.0,69497.0,72551.0,75120.0,77236.0,80195.0,83555.0,86551.0,89819.0,93757.0,95724.0,99623.0,100933.0,102352.0,105992.0,109608.0,113028.0,118881.0,120551.0,124473.0,128977.0,134222.0,135598.0,139613.0,148447.0,151891.18234812035,156836.15310943872,161942.11238537836,167214.30131953568,172658.1316862266,178279.19144554457,184083.2504792624,190076.26651347865
North West,TLD,chained_gva_mn_gbp,,138875.0,144432.0,147486.0,153660.0,157217.0,162190.0,167715.0,172129.0,178202.0,181147.0,179128.0,172853.0,176810.0,176037.0,179724.0,182560.0,187866.0,193054.0,195924.0,202563.0,204476.0,209462.0,192257.0,209825.0,221845.0,223858.0,224164.30647812883,227890.70979229582,231679.059104369,235530.38417584702,239445.73188650285,243426.16651895427,247472.7700479581
North West,TLD,emp_total_jobs,,,,,,,,,,,,,3012000.0,2980000.0,2977000.0,2987000.0,3017000.0,3086000.0,3162000.0,3246000.0,3298000.0,3328000.0,3406000.0,3316000.0,3439000.0,3485000.0,3555000.0,3581855.2568739792,3630742.2107818257,3680296.398313309,3730526.9262070023,3781443.025494785,3833054.053198302,3885369.494048515
North West,TLD,nominal_gva_mn_gbp,,88083.0,92290.0,94655.0,100553.0,105245.0,111059.0,117278.0,123348.0,130397.0,135269.0,138451.0,137614.0,140494.0,141439.0,145795.0,150838.0,156789.0,162866.0,168631.0,176803.0,181321.0,190043.0,185588.0,199341.0,221845.0,243386.0,239999.84146082404,241599.1936590918,251325.30707317608,261456.1141312468,272009.05999879184,283002.37036173255,294455.0877184771
North West,TLD,productivity_gbp_per_job,,,,,,,,,,,,,45688.579017264274,47145.63758389262,47510.58112193483,48809.84265148979,49996.022538945974,50806.54569021387,51507.27387729285,51950.400492914356,53609.15706488781,54483.473557692305,55796.53552554316,55967.430639324484,57964.81535330038,63657.1018651363,68463.00984528832,67022.91645386498,66589.92458536549,68342.44278086993,70152.84441403908,71913.3215714873,73942.0747517868,75895.4189317474
Northern Ireland,N92000002,gdhi_per_head_gbp,8567.0,8590.0,8919.0,9383.0,9641.0,10173.0,10643.0,11241.0,11814.0,12403.0,12659.0,12869.0,13041.0,13226.0,13519.0,13749.0,14305.0,14760.0,15248.0,15480.0,15965.0,16347.0,16871.0,16992.0,17635.0,18685.0,19299.020995115956,19878.728664990536,20474.82685233631,21087.757312711055,21717.97332538849,22365.93998833331,23032.13452065065,23717.046572698182
Northern Ireland,N92000002,gdhi_total_mn_gbp,14318.0,14413.0,14975.0,15791.0,16281.0,17269.0,18145.0,19267.0,20412.0,21619.0,22301.0,22896.0,23387.0,23870.0,24528.0,25086.0,26203.0,27205.0,28284.0,28886.0,29937.0,30834.0,32030.0,32293.0,33587.0,35698.0,37411.94315286373,38794.611848039276,40228.38114263568,41715.139610011676,43256.84562132381,44855.52992511048,46513.2983222115,48232.33443954703
Northern Ireland,TLN,chained_gva_mn_gbp,,34512.0,35857.0,38268.0,39147.0,39405.0,41164.0,42113.0,43497.0,44772.0,44531.0,43255.0,41216.0,40655.0,41387.0,42233.0,42811.0,43702.0,44177.0,46116.0,47169.0,47460.0,49047.0,43793.0,49270.0,50701.0,51465.0,50804.379653889846,51436.50228126993,52076.48995923764,52724.44054700249,53380.45312136653,54044.62799187377,54717.06671614795
Northern Ireland,TLN,nominal_gva_mn_gbp,,19603.0,20710.0,22344.0,23267.0,24039.0,25961.0,27232.0,28747.0,30484.0,31574.0,31939.0,31354.0,31000.0,31636.0,32952.0,34012.0,35071.0,36351.0,38547.0,40230.0,41386.0,43818.0,42146.0,46614.0,50701.0,56141.0,54591.69952383132,55049.09288724861,57197.48370352963,59429.719372784384,61749.07209265848,64158.94176425238,66662.860975981
